Sample_ID,Sample Name,Source Plate Barcode,Source Plate Name,Source Well,Destination Plate Barcode,Destination Plate Name,Destination Well,Volume
Moty_run1_c361,Moty_run1_c361,GF0001258,GF0001258_Process,O24,GF0001264,GF0001264,O24,1000.0
Moty_run1_c362,Moty_run1_c362,GF0001258,GF0001258_Process,P1,GF0001264,GF0001264,P1,1000.0
Moty_run1_c363,Moty_run1_c363,GF0001258,GF0001258_Process,P2,GF0001264,GF0001264,P2,1000.0
Moty_run1_c364,Moty_run1_c364,GF0001258,GF0001258_Process,P3,GF0001264,GF0001264,P3,1000.0
Moty_run1_c365,Moty_run1_c365,GF0001258,GF0001258_Process,P4,GF0001264,GF0001264,P4,1000.0
Moty_run1_c366,Moty_run1_c366,GF0001258,GF0001258_Process,P5,GF0001264,GF0001264,P5,1000.0
Moty_run1_c367,Moty_run1_c367,GF0001258,GF0001258_Process,P6,GF0001264,GF0001264,P6,1000.0
Moty_run1_c368,Moty_run1_c368,GF0001258,GF0001258_Process,P7,GF0001264,GF0001264,P7,1000.0
Moty_run1_c369,Moty_run1_c369,GF0001258,GF0001258_Process,P8,GF0001264,GF0001264,P8,1000.0
Moty_run1_c370,Moty_run1_c370,GF0001258,GF0001258_Process,P9,GF0001264,GF0001264,P9,1000.0
Moty_run1_c371,Moty_run1_c371,GF0001258,GF0001258_Process,P10,GF0001264,GF0001264,P10,1000.0
Moty_run1_c372,Moty_run1_c372,GF0001258,GF0001258_Process,P11,GF0001264,GF0001264,P11,1000.0
Moty_run1_c373,Moty_run1_c373,GF0001258,GF0001258_Process,P12,GF0001264,GF0001264,P12,1000.0
Moty_run1_c374,Moty_run1_c374,GF0001258,GF0001258_Process,P13,GF0001264,GF0001264,P13,1000.0
Moty_run1_c375,Moty_run1_c375,GF0001258,GF0001258_Process,P14,GF0001264,GF0001264,P14,1000.0
Moty_run1_c376,Moty_run1_c376,GF0001258,GF0001258_Process,P15,GF0001264,GF0001264,P15,1000.0
Moty_run1_c377,Moty_run1_c377,GF0001258,GF0001258_Process,P16,GF0001264,GF0001264,P16,1000.0
Moty_run1_c378,Moty_run1_c378,GF0001258,GF0001258_Process,P17,GF0001264,GF0001264,P17,1000.0
Moty_run1_c379,Moty_run1_c379,GF0001258,GF0001258_Process,P18,GF0001264,GF0001264,P18,1000.0
Moty_run1_c380,Moty_run1_c380,GF0001258,GF0001258_Process,P19,GF0001264,GF0001264,P19,1000.0
Moty_run1_c381,Moty_run1_c381,GF0001258,GF0001258_Process,P20,GF0001264,GF0001264,P20,1000.0
Moty_run1_c382,Moty_run1_c382,GF0001258,GF0001258_Process,P21,GF0001264,GF0001264,P21,1000.0
Moty_run1_c383,Moty_run1_c383,GF0001258,GF0001258_Process,P22,GF0001264,GF0001264,P22,1000.0
Moty_run1_c384,Moty_run1_c384,GF0001258,GF0001258_Process,P23,GF0001264,GF0001264,P23,1000.0
Moty_run1_c385,Moty_run1_c385,GF0001258,GF0001258_Process,P24,GF0001264,GF0001264,P24,1000.0
